Time,Balancing reserves
08/01/16 00:00,90
08/01/16 00:05,153
08/01/16 00:10,234
08/01/16 00:15,229
08/01/16 00:20,243
08/01/16 00:25,233
08/01/16 00:30,234
08/01/16 00:35,255
08/01/16 00:40,220
08/01/16 00:45,249
08/01/16 00:50,230
08/01/16 00:55,105
08/01/16 01:00,27
08/01/16 01:05,-37
08/01/16 01:10,77
08/01/16 01:15,50
08/01/16 01:20,37
08/01/16 01:25,96
08/01/16 01:30,90
08/01/16 01:35,84
08/01/16 01:40,91
08/01/16 01:45,79
08/01/16 01:50,75
08/01/16 01:55,42
08/01/16 02:00,17
08/01/16 02:05,-28
08/01/16 02:10,-31
08/01/16 02:15,-27
08/01/16 02:20,-33
08/01/16 02:25,-30
08/01/16 02:30,-30
08/01/16 02:35,-31
08/01/16 02:40,-35
08/01/16 02:45,-38
08/01/16 02:50,-44
08/01/16 02:55,-33
08/01/16 03:00,-64
08/01/16 03:05,-24
08/01/16 03:10,30
08/01/16 03:15,52
08/01/16 03:20,46
08/01/16 03:25,63
08/01/16 03:30,53
08/01/16 03:35,31
08/01/16 03:40,49
08/01/16 03:45,54
08/01/16 03:50,76
08/01/16 03:55,57
08/01/16 04:00,33
08/01/16 04:05,8
08/01/16 04:10,12
08/01/16 04:15,39
08/01/16 04:20,6
08/01/16 04:25,37
08/01/16 04:30,34
08/01/16 04:35,19
08/01/16 04:40,24
08/01/16 04:45,9
08/01/16 04:50,46
08/01/16 04:55,76
08/01/16 05:00,49
08/01/16 05:05,-34
08/01/16 05:10,-32
08/01/16 05:15,20
08/01/16 05:20,-5
08/01/16 05:25,-15
08/01/16 05:30,-6
08/01/16 05:35,-11
08/01/16 05:40,-13
08/01/16 05:45,75
08/01/16 05:50,156
08/01/16 05:55,20
08/01/16 06:00,-33
08/01/16 06:05,-157
08/01/16 06:10,-115
08/01/16 06:15,-93
08/01/16 06:20,-100
08/01/16 06:25,-110
08/01/16 06:30,-126
08/01/16 06:35,-106
08/01/16 06:40,-91
08/01/16 06:45,-120
08/01/16 06:50,220
08/01/16 06:55,188
08/01/16 07:00,56
08/01/16 07:05,-39
08/01/16 07:10,-39
08/01/16 07:15,-26
08/01/16 07:20,-9
08/01/16 07:25,-81
08/01/16 07:30,-72
08/01/16 07:35,-25
08/01/16 07:40,-92
08/01/16 07:45,-83
08/01/16 07:50,-32
08/01/16 07:55,111
08/01/16 08:00,31
08/01/16 08:05,49
08/01/16 08:10,-32
08/01/16 08:15,-42
08/01/16 08:20,-53
08/01/16 08:25,-25
08/01/16 08:30,-56
08/01/16 08:35,-35
08/01/16 08:40,-55
08/01/16 08:45,-98
08/01/16 08:50,-58
08/01/16 08:55,-9
08/01/16 09:00,23
08/01/16 09:05,46
08/01/16 09:10,11
08/01/16 09:15,-22
08/01/16 09:20,-19
08/01/16 09:25,-58
08/01/16 09:30,33
08/01/16 09:35,-46
08/01/16 09:40,-3
08/01/16 09:45,7
08/01/16 09:50,-11
08/01/16 09:55,62
08/01/16 10:00,30
08/01/16 10:05,-5
08/01/16 10:10,63
08/01/16 10:15,72
08/01/16 10:20,23
08/01/16 10:25,43
08/01/16 10:30,67
08/01/16 10:35,65
08/01/16 10:40,105
08/01/16 10:45,112
08/01/16 10:50,103
08/01/16 10:55,36
08/01/16 11:00,26
08/01/16 11:05,34
08/01/16 11:10,21
08/01/16 11:15,-5
08/01/16 11:20,-5
08/01/16 11:25,-19
08/01/16 11:30,25
08/01/16 11:35,-43
08/01/16 11:40,12
08/01/16 11:45,-5
08/01/16 11:50,-18
08/01/16 11:55,45
08/01/16 12:00,50
08/01/16 12:05,68
08/01/16 12:10,64
08/01/16 12:15,85
08/01/16 12:20,66
08/01/16 12:25,55
08/01/16 12:30,46
08/01/16 12:35,75
08/01/16 12:40,49
08/01/16 12:45,103
08/01/16 12:50,60
08/01/16 12:55,53
08/01/16 13:00,-14
08/01/16 13:05,-21
08/01/16 13:10,-12
08/01/16 13:15,27
08/01/16 13:20,2
08/01/16 13:25,8
08/01/16 13:30,10
08/01/16 13:35,-4
08/01/16 13:40,-1
08/01/16 13:45,40
08/01/16 13:50,31
08/01/16 13:55,132
08/01/16 14:00,114
08/01/16 14:05,98
08/01/16 14:10,59
08/01/16 14:15,46
08/01/16 14:20,38
08/01/16 14:25,41
08/01/16 14:30,45
08/01/16 14:35,86
08/01/16 14:40,14
08/01/16 14:45,48
08/01/16 14:50,50
08/01/16 14:55,62
08/01/16 15:00,67
08/01/16 15:05,-4
08/01/16 15:10,36
08/01/16 15:15,56
08/01/16 15:20,79
08/01/16 15:25,64
08/01/16 15:30,37
08/01/16 15:35,3
08/01/16 15:40,19
08/01/16 15:45,51
08/01/16 15:50,1
08/01/16 15:55,-7
08/01/16 16:00,-16
08/01/16 16:05,27
08/01/16 16:10,26
08/01/16 16:15,62
08/01/16 16:20,-34
08/01/16 16:25,34
08/01/16 16:30,47
08/01/16 16:35,41
08/01/16 16:40,-1
08/01/16 16:45,80
08/01/16 16:50,64
08/01/16 16:55,61
08/01/16 17:00,58
08/01/16 17:05,62
08/01/16 17:10,82
08/01/16 17:15,56
08/01/16 17:20,124
08/01/16 17:25,77
08/01/16 17:30,64
08/01/16 17:35,86
08/01/16 17:40,42
08/01/16 17:45,48
08/01/16 17:50,44
08/01/16 17:55,59
08/01/16 18:00,99
08/01/16 18:05,155
08/01/16 18:10,132
08/01/16 18:15,112
08/01/16 18:20,109
08/01/16 18:25,64
08/01/16 18:30,106
08/01/16 18:35,100
08/01/16 18:40,105
08/01/16 18:45,86
08/01/16 18:50,79
08/01/16 18:55,-111
08/01/16 19:00,-147
08/01/16 19:05,-88
