device	class	mode	Obs dist	Obs params	Dur dist	Dur params
air	class 0	mode 0	gaussian	{'mu_0': 48.749114657725947, 'tausq_0': 984.20299931382476, 'sigmasq': 114399.98668599887}	pnbMixture	{'alpha_pi': 46.069723552177628, 'beta_pi': 6.8885936411527799, 'r': 1959706.7691550197, 'alpha_nb': 0.013708901494515469, 'beta_nb': 0.014087820425963859, 'alpha_p': 7.1920037278108246, 'beta_p': 0.2327539408018216}
air	class 0	mode 1	gaussian	{'mu_0': 3401.7622677963004, 'tausq_0': 183436.29666953289, 'sigmasq': 345278.38833238865}	pnbMixture	{'alpha_pi': 94.529550261459661, 'beta_pi': 11.404861557051785, 'r': 1500549.4576870881, 'alpha_nb': 0.14160045350933304, 'beta_nb': 0.097578144822235827, 'alpha_p': 3.0826847989157278, 'beta_p': 0.14715491341135525}
air	class 1	mode 0	gaussian	{'mu_0': 50.887711799790935, 'tausq_0': 2653.199422100638, 'sigmasq': 55326.500977619282}	pnbMixture	{'alpha_pi': 1.0008429522197928, 'beta_pi': 0.17688225551392239, 'r': 1007767.108763331, 'alpha_nb': 0.02379183200647135, 'beta_nb': 0.012314484302272043, 'alpha_p': 0.075884087497838176, 'beta_p': 0.00010627029725558489}
air	class 1	mode 1	gaussian	{'mu_0': 1873.0529361852484, 'tausq_0': 215025.38710513824, 'sigmasq': 139827.65018459686}	pnbMixture	{'alpha_pi': 10.251878490370444, 'beta_pi': 1.0999287606841683, 'r': 971351.13926712202, 'alpha_nb': 0.06942337467720637, 'beta_nb': 0.027748148834079403, 'alpha_p': 0.95718596633524633, 'beta_p': 0.057286491683964637}
refrigerator	class 0	mode 0	gaussian	{'mu_0': 11.003624640937971, 'tausq_0': 117.05715528716769, 'sigmasq': 676.75136603339888}	pnbMixture	{'alpha_pi': 2.5405179419854691, 'beta_pi': 0.4826724426490327, 'r': 586649.54544531682, 'alpha_nb': 0.16942971482713653, 'beta_nb': 0.26409747008717088, 'alpha_p': 2.0382197919007052, 'beta_p': 0.057228538031053156}
refrigerator	class 0	mode 1	gaussian	{'mu_0': 111.97297668021551, 'tausq_0': 1904.6647425152144, 'sigmasq': 1010.734338588207}	pnbMixture	{'alpha_pi': 1.1177932480833208, 'beta_pi': 0.61351011831492963, 'r': 1167916.8500857805, 'alpha_nb': 0.13806870460539605, 'beta_nb': 0.18847853520666474, 'alpha_p': 0.24227025357612425, 'beta_p': 0.0053485041286047393}
refrigerator	class 0	mode 2	gaussian	{'mu_0': 370.8776013487041, 'tausq_0': 22599.234031003765, 'sigmasq': 7931.8536648501486}	pnbMixture	{'alpha_pi': 2.2268622061342573, 'beta_pi': 0.34675798305413674, 'r': 304846.30795712007, 'alpha_nb': 0.072605746670780305, 'beta_nb': 0.18420965674870796, 'alpha_p': 0.8036259911482212, 'beta_p': 0.064464417952265984}
refrigerator	class 1	mode 0	gaussian	{'mu_0': 52.037733914380929, 'tausq_0': 0.0, 'sigmasq': 7804.9251078102552}	pnbMixture	{'alpha_pi': inf, 'beta_pi': inf, 'r': 5475626.616756238, 'alpha_nb': inf, 'beta_nb': inf, 'alpha_p': inf, 'beta_p': inf}
refrigerator	class 1	mode 1	gaussian	{'mu_0': 448.72807017543857, 'tausq_0': 0.0, 'sigmasq': 164264.40851031087}	pnbMixture	{'alpha_pi': inf, 'beta_pi': inf, 'r': 3.4071971387528248, 'alpha_nb': inf, 'beta_nb': inf, 'alpha_p': inf, 'beta_p': inf}
refrigerator	class 1	mode 2	gaussian	{'mu_0': 1416.3757476889614, 'tausq_0': 0.0, 'sigmasq': 222149.00236995483}	pnbMixture	{'alpha_pi': inf, 'beta_pi': inf, 'r': 360480.87175532529, 'alpha_nb': inf, 'beta_nb': inf, 'alpha_p': inf, 'beta_p': inf}
furnace	class 0	mode 0	gaussian	{'mu_0': 18.799247430169071, 'tausq_0': 115.50732973378857, 'sigmasq': 2661.8439270275512}	pnbMixture	{'alpha_pi': 1.3433026277208271, 'beta_pi': 0.31816204368739698, 'r': 611500.05020969908, 'alpha_nb': 0.031277080779832774, 'beta_nb': 0.018236545948766381, 'alpha_p': 0.081102203471909634, 'beta_p': 0.00010639563334345746}
furnace	class 0	mode 1	gaussian	{'mu_0': 393.37424954388678, 'tausq_0': 14215.276687954976, 'sigmasq': 3400.3137848904721}	pnbMixture	{'alpha_pi': 10.475770541938205, 'beta_pi': 1.1077096477562509, 'r': 22457391.374131363, 'alpha_nb': 0.046493460585546265, 'beta_nb': 0.027808311509132769, 'alpha_p': 1.8248235993248207, 'beta_p': 0.080590416084115685}
furnace	class 1	mode 0	gaussian	{'mu_0': 154.94670210526257, 'tausq_0': 43257.903468865574, 'sigmasq': 6139.6266440862501}	pnbMixture	{'alpha_pi': 21.914480831178768, 'beta_pi': 2.3633800720188654, 'r': 1954439.9849708737, 'alpha_nb': 0.0090794696380052387, 'beta_nb': 0.012364179341066234, 'alpha_p': 3.5745937322556882, 'beta_p': 0.14091887749980686}
furnace	class 1	mode 1	gaussian	{'mu_0': 767.48350789712515, 'tausq_0': 10151.967539649251, 'sigmasq': 9101.3304567838113}	pnbMixture	{'alpha_pi': 61.369568760364778, 'beta_pi': 5.6944104888746709, 'r': 1239081.194379484, 'alpha_nb': 0.15643558577791317, 'beta_nb': 0.083562349005796177, 'alpha_p': 2.5009091408839526, 'beta_p': 0.1302478867908064}
dishwasher	class 0	mode 0	gaussian	{'mu_0': 2.4834949402285185, 'tausq_0': 3.5314369807679555, 'sigmasq': 702.85860990501214}	pnbMixture	{'alpha_pi': 0.85903071351507654, 'beta_pi': 0.6287672066857013, 'r': 5988597.0550708901, 'alpha_nb': 0.042941883584603525, 'beta_nb': 0.020936537692951639, 'alpha_p': 0.21310322616472627, 'beta_p': 9.8965966187090253e-05}
dishwasher	class 0	mode 1	gaussian	{'mu_0': 904.07199265887357, 'tausq_0': 24174.522513172524, 'sigmasq': 37555.241415733326}	pnbMixture	{'alpha_pi': 2.4636918520456361, 'beta_pi': 0.75221678412566229, 'r': 239279.91989707257, 'alpha_nb': 0.088111635211577249, 'beta_nb': 0.32338233680929018, 'alpha_p': 1.8614031788069978, 'beta_p': 0.23115120688388299}
dishwasher	class 1	mode 0	gaussian	{'mu_0': 0.0036382419655489927, 'tausq_0': 0.0, 'sigmasq': 0.010901489092047092}	pnbMixture	{'alpha_pi': inf, 'beta_pi': inf, 'r': 32992026.729763582, 'alpha_nb': inf, 'beta_nb': inf, 'alpha_p': inf, 'beta_p': inf}
dishwasher	class 1	mode 1	gaussian	{'mu_0': 2.4473684210526314, 'tausq_0': 0.0, 'sigmasq': 1.5630193905817173}	pnbMixture	{'alpha_pi': inf, 'beta_pi': inf, 'r': 123302.19263428883, 'alpha_nb': inf, 'beta_nb': inf, 'alpha_p': inf, 'beta_p': inf}
